🇨🇳 央视,#genre#
CCTV16,http://l2tp.yeedah.xyz:8000/udp/239.77.0.165:5146
CCTV17,http://l2tp.yeedah.xyz:8000/udp/239.77.1.121:5146
CCTV1,http://171.108.239.79:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://59.32.97.78:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://119.125.128.225:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://59.32.97.78:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://59.32.97.165:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://119.125.128.225:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.184.128.243:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.74:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://59.32.97.78:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://119.125.128.225:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://59.32.97.78:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://59.32.97.165:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://119.125.128.225:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.184.128.243:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.74:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.32.97.78:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://171.108.239.79:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://119.125.128.225:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.32.97.78:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://61.184.128.243:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.108.239.74:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.32.97.165:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://171.108.239.79:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.32.97.78:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://119.125.128.225:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.32.97.78:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://59.32.97.165:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://119.125.128.225:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://61.184.128.243:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://59.32.97.78:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5,http://171.108.239.79:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://119.125.128.225:9901/tsfile/live/1118_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://119.125.128.225:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://119.125.128.225:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://61.184.128.243:1111/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.108.239.74:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.108.239.74:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://119.125.128.225:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.32.97.78:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://171.108.239.79:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.32.97.165:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://119.125.128.225:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.32.97.78:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6,http://171.108.239.74:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
